fold,train_end,test_start,test_end,rmse_model,mae_model,mape_model,rmse_naive,mae_naive,mape_naive,rmse_linear,mae_linear,mape_linear
1,2019-02-18,2019-02-19,2019-05-22,0.4706451165441223,0.3276900512354537,2.442442468304612,0.37389838191679836,0.2650793650793651,1.9773484053394057,1.3359858331341583,1.0600170432684606,7.643348131790642
2,2019-05-22,2019-05-23,2019-08-20,0.48826766321187,0.40303033142856276,3.6085296945764775,0.3067675817395789,0.2363492063492063,2.04009124189392,0.5260861021648279,0.41520516442640015,3.586611390246228
3,2019-08-20,2019-08-21,2019-11-25,0.40644758303059625,0.31799786543648323,2.135151101090889,0.4085397923149736,0.3225396825396824,2.1744793516840324,0.517832596872628,0.4141883198965254,2.7902015175530823
4,2019-11-25,2019-11-26,2020-03-02,1.4850328843199836,1.1056160268707713,5.401946033592952,0.887148991620536,0.5976190476190476,2.8749664052820356,1.1135858272423713,0.8082977712909046,3.837786681733207
5,2020-03-02,2020-03-03,2020-06-03,1.2008050315490089,0.9290499550955783,4.523742249650805,0.7356003918622775,0.5653968253968255,2.668677156148117,0.9523899610400726,0.7221049862885754,3.3830035576368633
