metric,random_forest_mean,naive_mean,linear_mean
rmse,0.8102396557311161,0.5423910278908328,0.8891760640908115
mae,0.6166768460133698,0.39739682539682536,0.6839626570341732
mape,3.6223623094431474,2.3471125120695024,4.2481902557920055
